start, 2012-11-26 15:08:25.520, 30
timestamp, sec, x, y, z, m11, m12, m13, m21, m22, m23, m31, m32, m33, heading, heading_acc
2012-11-26 15:08:26.262, 0.810014, 0.015411, -0.006027, -1.016998, 0.950497, 0.310289, -0.016620, -0.310660, 0.950077, -0.029067, 0.006771, 0.032791, 0.999439, 0.830368, 25.000000
2012-11-26 15:08:26.293, 0.841592, -0.000122, 0.006439, -0.998444, 0.999329, 0.003458, -0.036453, -0.002325, 0.999515, 0.031060, 0.036543, -0.030954, 0.998853, 0.830368, 25.000000
2012-11-26 15:08:26.325, 0.873340, 0.001465, -0.011108, -0.994461, 0.999436, 0.004439, -0.033291, -0.003512, 0.999606, 0.027835, 0.033401, -0.027702, 0.999058, 0.830368, 25.000000
2012-11-26 15:08:26.358, 0.905685, 0.010864, -0.029572, -0.999252, 0.999436, 0.004439, -0.033291, -0.003512, 0.999606, 0.027835, 0.033401, -0.027702, 0.999058, 0.830368, 25.000000
2012-11-26 15:08:26.390, 0.938434, 0.017624, -0.030396, -0.995209, 0.999553, 0.003524, -0.029675, -0.002768, 0.999672, 0.025476, 0.029755, -0.025383, 0.999235, 0.830368, 25.000000
2012-11-26 15:08:26.421, 0.969438, 0.016571, -0.002151, -1.026871, 0.999641, 0.001726, -0.026725, -0.001039, 0.999669, 0.025690, 0.026760, -0.025653, 0.999313, 0.830368, 25.000000
2012-11-26 15:08:26.452, 1.000575, 0.008926, -0.000366, -1.036865, 0.999641, 0.001726, -0.026725, -0.001039, 0.999669, 0.025690, 0.026760, -0.025653, 0.999313, 0.830368, 25.000000
2012-11-26 15:08:26.484, 1.032513, 0.006073, -0.023773, -0.994400, 0.999679, 0.001831, -0.025275, -0.001283, 0.999765, 0.021643, 0.025308, -0.021603, 0.999446, 0.830368, 25.000000
2012-11-26 15:08:26.517, 1.064624, 0.026703, -0.029343, -1.020767, 0.999784, 0.000753, -0.020754, -0.000396, 0.999852, 0.017188, 0.020764, -0.017176, 0.999637, 0.830368, 25.000000
2012-11-26 15:08:26.548, 1.096341, 0.038803, -0.022324, -1.045303, 0.999810, -0.000630, -0.019490, 0.001014, 0.999806, 0.019674, 0.019473, -0.019690, 0.999617, 0.830368, 25.000000
2012-11-26 15:08:26.580, 1.128474, 0.049423, -0.023087, -1.037231, 0.999787, -0.001347, -0.020605, 0.001753, 0.999804, 0.019714, 0.020575, -0.019746, 0.999593, 0.830368, 25.000000
2012-11-26 15:08:26.611, 1.159591, 0.041122, -0.034897, -1.009689, 0.999776, -0.002206, -0.021055, 0.002643, 0.999780, 0.020791, 0.021005, -0.020842, 0.999562, 0.830368, 25.000000
2012-11-26 15:08:26.644, 1.192022, 0.028046, -0.041931, -0.986160, 0.999756, -0.002779, -0.021922, 0.003263, 0.999751, 0.022078, 0.021855, -0.022144, 0.999516, 0.830368, 25.000000
2012-11-26 15:08:26.675, 1.223415, 0.020767, -0.028412, -1.009979, 0.999731, -0.002358, -0.023067, 0.002937, 0.999681, 0.025080, 0.023001, -0.025141, 0.999419, 0.830368, 25.000000
2012-11-26 15:08:26.708, 1.256002, 0.019882, -0.020584, -1.005051, 0.999713, -0.001431, -0.023914, 0.002073, 0.999637, 0.026855, 0.023866, -0.026897, 0.999353, 0.830368, 25.000000
2012-11-26 15:08:26.740, 1.288120, 0.030273, -0.038025, -1.005890, 0.999681, -0.000297, -0.025271, 0.001016, 0.999594, 0.028469, 0.025253, -0.028486, 0.999275, 0.830368, 25.000000
2012-11-26 15:08:26.772, 1.320348, 0.031143, -0.038956, -0.996002, 0.999671, 0.000202, -0.025641, 0.000520, 0.999604, 0.028145, 0.025637, -0.028149, 0.999275, 54.206635, 25.000000
2012-11-26 15:08:26.804, 1.351993, 0.020523, -0.034271, -0.998123, 0.999657, 0.000606, -0.026181, 0.000159, 0.999573, 0.029218, 0.026187, -0.029212, 0.999230, 54.206635, 25.000000
